country,code,count,,
Anguilla,660,0 ,,
Saint Lucia,662,0 ,,
Saint Martin (French part),663,0 ,,
Saint Pierre and Miquelon,666,0 ,,
Saint Vincent and the Grenadines,670,0 ,,
San Marino,674,0 ,,
Sao Tome and Principe,678,0 ,,
Saudi Arabia,682,18 ,,
Senegal,686,1 ,,
Serbia,688,0 ,,
Seychelles,690,0 ,,
Sierra Leone,694,11 ,,
Singapore,702,82 ,,
Slovakia,703,0 ,,
Viet Nam,704,10 ,,
Slovenia,705,0 ,,
Somalia,706,1 ,,
South Africa,710,16 ,,
Zimbabwe,716,0 ,,
Spain,724,9 ,,
South Sudan,728,0 ,,
Sudan,729,0 ,,
Western Sahara,732,0 ,,
Suriname,740,2 ,,
Svalbard and Jan Mayen,744,0 ,,
Eswatini,748,0 ,,
Sweden,752,1 ,,
Switzerland,756,5 ,,
Syrian Arab Republic,760,0 ,,
Tajikistan,762,0 ,,
Thailand,764,31 ,,
Togo,768,0 ,,
Tokelau,772,0 ,,
Tonga,776,0 ,,
Trinidad and Tobago,780,1 ,,
United Arab Emirates,784,24 ,,
Tunisia,788,0 ,,
Türkiye,792,20 ,,
Turkmenistan,795,0 ,,
Turks and Caicos Islands,796,0 ,,
Tuvalu,798,0 ,,
Uganda,800,0 ,,
Ukraine,804,4 ,,
North Macedonia,807,0 ,,
Egypt,818,0 ,,
United Kingdom of Great Britain and Northern Ireland,826,317 ,,
Guernsey,831,0 ,,
Jersey,832,1 ,,
Isle of Man,833,0 ,,
"Tanzania, United Republic of",834,2 ,,
United States of America,840,1370 ,,
Virgin Islands (U.S.),850,0 ,,
Burkina Faso,854,0 ,,
Uruguay,858,0 ,,
Uzbekistan,860,0 ,,
"Venezuela, Bolivarian Republic of",862,0 ,,
Wallis and Futuna,876,0 ,,
Samoa,882,0 ,,
Yemen,887,0 ,,
Zambia,894,2 ,,
